id;nombre;nit;telefono;email
1;EXE index clicks-and-mortar;Monte parse;circuit override;Gonzalo.Cordero65@yahoo.com
2;Australian;synthesize Agente Acero;Hormigon;Arturo.Lucero@yahoo.com
3;SSL multi-byte Sabroso;auxiliary Ronda Valenciana;circuit Coordinador Ethiopian;MarcoAntonio_Robledo@hotmail.com
4;digital;state Pescado Metal;Puerta Avon;Sara_Padrn@yahoo.com
5;monitor real-time;EXE plug-and-play;Card;Esperanza_Castellanos@gmail.com
6;withdrawal Sabroso;1080p override Mejorado;bandwidth dedicada;Sancho.Lucero@gmail.com
7;Guantes Cliente;e-tailers grow Avon;digital;Amalia.Barraza43@yahoo.com
8;estructura;Mascotas Galicia panel;Soluciones Inverso;Joaqun_Olivas@hotmail.com
9;Interacciones harness;Negro;Práctico;Carla_Tafoya65@yahoo.com
10;Jefe 1080p;Ladrillo Refinado Usabilidad;Especialista Plástico;Elsa0@gmail.com
